Elapsed time  Sample #  Type  Sub Chan  Num	Aux
    0:00.572      143     N    0    0    0
    0:01.388      347     N    0    0    0
    0:02.148      537     N    0    0    0
    0:02.880      720     N    0    0    0
    0:03.636      909     N    0    0    0
    0:04.388     1097     N    0    0    0
    0:05.184     1296     N    0    0    0
    0:06.004     1501     N    0    0    0
    0:06.788     1697     N    0    0    0
    0:07.560     1890     N    0    0    0
    0:08.312     2078     N    0    0    0
    0:09.080     2270     N    0    0    0
    0:09.836     2459     N    0    0    0
    0:10.580     2645     N    0    0    0
    0:11.360     2840     N    0    0    0
    0:12.188     3047     N    0    0    0
    0:12.956     3239     N    0    0    0
    0:13.700     3425     N    0    0    0
    0:14.428     3607     N    0    0    0
    0:15.132     3783     N    0    0    0
    0:15.848     3962     N    0    0    0
    0:16.576     4144     N    0    0    0
    0:17.304     4326     N    0    0    0
    0:18.040     4510     N    0    0    0
    0:18.776     4694     N    0    0    0
    0:19.536     4884     N    0    0    0
    0:20.244     5061     N    0    0    0
    0:20.916     5229     N    0    0    0
    0:21.592     5398     N    0    0    0
    0:22.288     5572     N    0    0    0
    0:22.996     5749     N    0    0    0
    0:23.716     5929     N    0    0    0
    0:24.444     6111     N    0    0    0
    0:25.164     6291     N    0    0    0
    0:25.852     6463     N    0    0    0
    0:26.540     6635     N    0    0    0
    0:27.236     6809     N    0    0    0
    0:27.924     6981     N    0    0    0
    0:28.608     7152     N    0    0    0
    0:29.344     7336     N    0    0    0
    0:30.096     7524     N    0    0    0
    0:30.852     7713     N    0    0    0
    0:31.588     7897     N    0    0    0
    0:32.316     8079     N    0    0    0
    0:33.036     8259     N    0    0    0
    0:33.780     8445     N    0    0    0
    0:34.524     8631     N    0    0    0
    0:35.272     8818     N    0    0    0
    0:36.060     9015     N    0    0    0
    0:36.836     9209     N    0    0    0
    0:37.584     9396     N    0    0    0
    0:38.308     9577     N    0    0    0
    0:39.016     9754     N    0    0    0
    0:39.716     9929     N    0    0    0
    0:40.432    10108     N    0    0    0
    0:41.200    10300     N    0    0    0
    0:41.944    10486     N    0    0    0
    0:42.692    10673     N    0    0    0
    0:43.444    10861     N    0    0    0
    0:44.196    11049     N    0    0    0
    0:44.916    11229     N    0    0    0
    0:45.668    11417     N    0    0    0
    0:46.420    11605     N    0    0    0
    0:47.196    11799     N    0    0    0
    0:48.008    12002     N    0    0    0
    0:48.844    12211     N    0    0    0
    0:49.648    12412     N    0    0    0
    0:50.412    12603     N    0    0    0
    0:51.188    12797     N    0    0    0
    0:51.960    12990     N    0    0    0
    0:52.780    13195     N    0    0    0
    0:53.596    13399     N    0    0    0
    0:54.216    13554     A    0    0    0
    0:55.204    13801     N    0    0    0
    0:56.028    14007     N    0    0    0
    0:56.808    14202     N    0    0    0
    0:57.556    14389     N    0    0    0
    0:58.328    14582     N    0    0    0
    0:59.112    14778     N    0    0    0
    0:59.932    14983     N    0    0    0
