'Elapsed time','MLII','V5'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',4.725,4.775
'0:00.004',4.735,4.745
'0:00.008',4.725,4.735
'0:00.012',4.715,4.745
'0:00.016',4.720,4.735
'0:00.020',4.705,4.725
'0:00.024',4.700,4.710
'0:00.028',4.690,4.715
'0:00.032',4.710,4.710
'0:00.036',4.710,4.710
'0:00.040',4.695,4.695
'0:00.044',4.690,4.690
'0:00.048',4.710,4.710
'0:00.052',4.695,4.705
'0:00.056',4.705,4.685
'0:00.060',4.700,4.705
'0:00.064',4.710,4.715
'0:00.068',4.710,4.720
'0:00.072',4.700,4.720
'0:00.076',4.705,4.745
'0:00.080',4.720,4.785
'0:00.084',4.735,4.790
'0:00.088',4.740,4.790
'0:00.092',4.730,4.805
'0:00.096',4.755,4.825
'0:00.100',4.765,4.835
'0:00.104',4.780,4.830
'0:00.108',4.780,4.840
'0:00.112',4.780,4.850
'0:00.116',4.805,4.860
'0:00.120',4.810,4.850
'0:00.124',4.800,4.850
'0:00.128',4.805,4.870
'0:00.132',4.820,4.875
'0:00.136',4.820,4.860
'0:00.140',4.795,4.850
'0:00.144',4.795,4.855
'0:00.148',4.800,4.855
'0:00.152',4.795,4.850
'0:00.156',4.800,4.835
'0:00.160',4.790,4.860
'0:00.164',4.810,4.865
'0:00.168',4.805,4.875
'0:00.172',4.790,4.850
'0:00.176',4.800,4.850
'0:00.180',4.800,4.855
'0:00.184',4.800,4.855
'0:00.188',4.785,4.840
'0:00.192',4.780,4.845
'0:00.196',4.800,4.855
'0:00.200',4.805,4.860
'0:00.204',4.795,4.830
'0:00.208',4.775,4.840
'0:00.212',4.780,4.855
'0:00.216',4.785,4.855
'0:00.220',4.780,4.840
'0:00.224',4.770,4.820
'0:00.228',4.780,4.825
'0:00.232',4.780,4.845
'0:00.236',4.770,4.835
'0:00.240',4.755,4.810
'0:00.244',4.765,4.825
'0:00.248',4.780,4.825
'0:00.252',4.775,4.810
'0:00.256',4.750,4.815
'0:00.260',4.755,4.805
'0:00.264',4.750,4.815
'0:00.268',4.760,4.820
'0:00.272',4.745,4.815
'0:00.276',4.740,4.810
'0:00.280',4.760,4.820
'0:00.284',4.765,4.810
'0:00.288',4.740,4.805
'0:00.292',4.740,4.810
'0:00.296',4.750,4.810
'0:00.300',4.760,4.815
